"","w_I","w_O","b_IO","b_OI","b_O","t"
"Alpha 1718 Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alpha Corporation 17, C.A  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alquimia Holdings  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alstom Power Hidro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alvarado, Neil & Arosemena ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Álvaro Enrique Pulido Vargas ",3.48,13.23,16.36,4.6,0,16.66
"Amelis Figueroa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"American Quality Professional, S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Americana De Reaseguros, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Américo Alex Mata García ",-0.3,15.22,-0.44,0.4,0,10.56
"Amir Luis Saab Morán ",-0.69,-0.3,0.4,-0.44,0,-0.54
"Amir Nassar Tayupe ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ana Claudia Bermúdez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ancap ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andrea Alonzo  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andreína Gámez Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andreína Tarazón Bolívar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andrés Eloy Méndez González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andrés Felipe Puyana Fonrodona ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Andrew Summers ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Andrína Fuentes Mazei ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ángel Antonio del Valle Suárez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ángel Eduardo Martínez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ángel Meza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ángel Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Anna Lorena Ríos Stanziola ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Antigua Omega INC. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Antonio José Benavides Torres ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Antonio José Canchica Gómez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Antonio Ledezma ",0.1,-0.3,0.4,-0.44,0,0.02
"Antonio Maarraoui ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Antonio Márquez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arcadio de Jesús Delgado Rosales ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arces Trading Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Argenis de Jesús Chávez Frías ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arias, Fábrega & Fábrega ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aristóbulo Istúriz Almeida ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arjona, Figueroa, Arrocha & Diaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Armando Alexis Vega Ramírez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Armando J. Leiva ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Armando José Salazar Gibory ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Armando Vara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"armandoInfo.com  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arosemena, Abrego & Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Arpigra S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Asasi Food S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Asdrúbal José Chávez Jiménez ",-0.69,-0.3,-0.44,3.76,0,0.57
"Asociación Cooperativa Colosal Xx, Rl ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Asociación Instituto Schafick Jorge Handal  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Asociación Intermunicipal Energía para El Salvador  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Astrid Carolina Da Acosta Villalobos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Atahualpa Fernández Arbulu ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Atlas Systems International Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aukan S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Autonomous Police Institute of the Diego Bautista Urbaneja, Municipality of Anzóategui State  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Autonomous Service of Registers and Notaries   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Autumn Leaves S.L.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bac Florida Bank ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Baker Tilland Hong Kong Corporate Service Limited ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Baltasar Garzón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Baluja International Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Agrícola de Venezuela C.A.,  Universal Bank ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Bicentenario Banco Universal, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Central de Venezuela ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Central de Venezuela  ",-0.3,0.5,13.84,-0.44,0,4.73
"Banco de Desarrollo Económico y Social de Venezuela  ",9.15,7.27,16.36,2.92,0,12.78
"Banco de Fomento Regional Los Andes C.A  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco de Madrid ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco de Venezuela S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco del Alba ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco del Pueblo Soberano, C.A. Development Bank  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Espírito Santo ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Banco Industrial de Venezuela, C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco Peravia ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Banco San Juan International  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Banco Suizo Ubs ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"BANDES Uruguay ",-0.29,-0.3,-0.44,0.4,0,-0.26
"Bank of Treasury ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bárbara Catarina Figueira Vara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bárbara Gabriela César Siero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bariven ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Baru Overseas Investment,S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Basel Makled El Chaer ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Baychester Investments S.A. ",-0.3,-0.29,1.24,-0.44,0,0.02
"Beford Investments S.A. ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Benito Chinea ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Bernal & Bernal ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bicentenario Grocery Network ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Binational Mining Corporation Turkey  - Venezuela  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bioarts S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Bladimir Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bladimir Humberto Lugo Armas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bleu Tel S.A. ",7.26,0.5,5.44,1.24,0,3.62
"Blt Law & Tax ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Blue Bank International N.Y. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Bluelane Overseas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"BMS Invesment ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Board of Governors of the OPEC Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bobby Benton ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Bogasa Associated Group INC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bogasa International Investment LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bogasa Intl Investment Group Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Boies Schiller Flexner Llp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bolívar - Artigas fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bolivarian Agency for Space Activities     ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bolivarian Service of National Inteligence  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bolivia Entretenida S.R.L ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bolivia Inversiones Gastronómicas S.A. Bigasa  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bonorva Investments S.L.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Brambech Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bruce Bagley ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Brumby Shipholding S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bsi SA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bufete Mf & Co. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Bureau de Monétisation des Programmes d’Aide au Développement  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Burocad ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Byron Espinosa Barreros ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"C.A. Metro de Caracas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"C.A. Metro de los Teques  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"C.A. Venezuela de Televisión  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cadena de Tiendas Venezolanas S.A.  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Calabria Overseas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Calandra Business S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Calixto Antonio Ortega Ríos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Camarena, Morales & Vega ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Camilla Fabri ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Camilo Ibrahim Issa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Campo Elías Páez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Capeli Industry, S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Capital Investments Inversoja ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Car Spot Panama, Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Caracas International Banking Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carandl Landnn Bertho de Acosta ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carbozulia International, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
