"","w_I","w_O","b_IO","b_OI","b_O","t"
"Corporación de Servicios de Vigilancia and Seguridad, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Gulfos S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Gulfos Sa ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Corporación Industrial para la Energía Eléctrica  S.A.,  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporacion Margamara S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Socialista Del Sector Automotor C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Venezolana de Alimentos, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Venezolana de Minería, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Venezuela De Comercio Exterior, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación Venezuela De Telecomunicaciones, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporate Service Limited ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Corporation of Central Region Development  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporation of Development for Zulia Region  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cosaco Panama, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cosaco, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"CostaPetrol Oil and Gas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Crasqui Holding, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cristian Abelardo Morales Zambrano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Currency Administration Commission  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"CVG Aluminios Nationales, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"CVG Telecomunicaciones, C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cynthia Eugenia Certain Ospina ",0.9,-0.3,0.4,1.24,0,1.13
"Dainty Properties Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Damaris del Carmen Hurtado Pérez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Daniel Alejandro Morales Santoro ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Daniel Aponte ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Daniel David Uzcátegui Specht ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Daniel Esgardo Rangel Baron ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Daniel Lutz ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Daniel Uzcátegui Specht ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Dante Rafael Rivas Quijada ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Darío Ramírez Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Darío Ramiro Mario Ale Iturralde ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Darío Ramón Vivas Velasco ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Darlly Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Darwin Enrique Padron Acosta ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Davark LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"David Nicolás Rubio González ",0.5,1.59,0.4,2.08,0,1.4
"Daysy Teresa Rafoi-Bleuler ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Dbm Panama, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"De La Fuente & Saldaña Lawyers ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Del Bros Overseas S,A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Del Este Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Delcy Eloína Rodríguez Gómez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Delta Amacuro State Government  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Department of Justice of USA  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Derwick Associates ",-0.3,5.28,9.64,-0.44,0,6.68
"Derwick Oil and Gas Corporation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Desiré David Obadía Medionies ",4.49,-0.3,-0.44,-0.44,0,2.79
"Devis José Mendoza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"DHK Finance Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"DI Capital Group, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diagrin   ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Dialysis Care Corporation,S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diamanven Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diana Industries ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diego Adolfo Marynberg ",0.5,-0.3,-0.44,-0.44,0,0.02
"Diego Alejandro Villarroel Atella ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diego Alfredo Molero Bellavia ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diego Bautista Uzcátegui Matheus ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Diego Federico Levy ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Diego Pérez Henao ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diego Salazar Carreño ",22.37,-0.69,26.45,-0.44,0,11.39
"Diego Salazar Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dimaco Technology ,S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dinero Latino Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diosdado Cabello Rondón ",11.04,15.22,32.33,6.28,0,24.99
"Dirca S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Distribución y Explotación de Maíz, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"District Court of USA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ditter José Marcano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Diving Services & Marine Construction ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dmi Trading Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dockland Argentina ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dockland Properties ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Domingo Enrique Cirillo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Domingo Ramón Valecillo Pérez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dominican Republic Judicial Power  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Donato Pausides Morales ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Donm, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Dora Teresita Bacigalupi de Levy ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Douglas Arnoldo Rico González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Doux Frangosul Agro Avicola Industrial S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Drogueria Distribuidora de Productos Medicos, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Drug Enforcement Administration  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"DT Investments and Consulting CV  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Durling & Durling ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Duro Felguera ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Dynamic International Company Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eagle Universal Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Earle Herrera ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eaton Global Services ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edai Patrimonial Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edandlberto José Molina Molina ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eddie Elizabeth Betancourt Romero ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Edgar Alberto Sarría Díaz ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Edgar Hernández Behrens ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edgar Romero Lazo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edgardo Javier Matteo Barsallo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edoardo Orsoni ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Eduardo Manuitt Carpio ",0.5,-0.3,-0.44,-0.44,0,0.02
"Eduardo Piñate ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eduardo Yépez  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edwin Antonio Rojas Mata ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edwin Durán ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Edwin Porro  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Edylberto José Molina Molina ",-0.3,-0.69,-0.44,0.4,0,-0.54
"Efg International A.G. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Efrain Antonio Campos Flores ",-0.3,2.49,-0.44,1.24,0,1.96
"Egli Antonio Ramírez Coronado ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Egly Antonio Ramírez Coronado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eiffel Real State ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ekkotrade Solutions ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ekosoltec Group S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"El Día Corporation ",-0.29,-0.3,1.24,-0.44,0,0.02
"El supremo sueño de Bolívar Refinery ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"El Universal Diary ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Elecnor ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Electricity of Caracas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Electrocables ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eliana Cortés ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Elías José Jaua Milano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Elita Del Valle Zacarías Díaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Elm Import ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eloisa Flores de Malpica ",1.7,-0.3,-0.44,-0.44,0,0.85
"Elpidio Jesús Peréz Chirinos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Elvis Eduardo Hidrobo Amoroso ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Emanuel Alejandro Andrade Colmenares ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Embassy of Spain ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Embassy of the United Kingdom of Great Britain ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Emmanuel Enrique Rubio González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Enarsa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Endes José Palencia Ortiz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Energetic Marketer Guf, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Energía Orgánica  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Energor S.A. de C.V. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Energy Business Uf, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Enersa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Enrique Alberto Chacín Bello ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Enstrap ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Entrepreneur Development Program  ",-0.69,-0.3,0.4,-0.44,0,-0.54
"Erika Albornoz Gavidia  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Erika del Valle Farías Peña ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ernesto Lujan ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ernesto Villegas ",0.5,-0.3,-0.44,-0.44,0,0.02
"Esaica ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Escastell ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Escom Limited Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Esolar Haiti ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Esperanza Arrellano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Estela Gómez Sánchez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Estibaliz Basoa De Rodríguez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Eudomario Carruyo Rondón ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Eudoro González Dellán ",0.5,-0.3,0.4,-0.44,0,0.29
"Eulalia Guerrero Rivero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eulogio del Pino ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"European Union ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eustiquio José Lugo Gómez ",-0.3,5.67,-0.44,2.92,0,4.73
"Euzenando Praceres De Acevedo ",-0.69,-0.3,-0.44,1.24,0,-0.26
"Evelyn Milagros Malpica Torrealba ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Evelyn Serret Aponte De Santana ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Exavier Gregory Campos Calderón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Executive Cabinet ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Eximamerica Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Extra Diary ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fabián Esteban Gutiérrez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fabio Enrique Zavarse Pabón ",0.1,-0.3,-0.44,-0.44,0,-0.26
"Fábrega, Molino & Mulino ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fady El Aissami ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fama de América C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fanny Márquez Cordero ",0.5,-0.3,-0.44,-0.44,0,0.02
"Farith Eduardo Fraija Norwood ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"FDM Corporate & Legal Services ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Federal Administration of Public Income  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Federal Chamber of Criminal Cassation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Federal Council of Switzerland  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Federico Pasquali ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Feras El Aissami Maddah ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Fernando Ardila Rueda ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Fernando Migliaccio ",-0.69,-0.3,-0.44,0.4,0,-0.54
"Ferrostal Ind. Projects Gmbh ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ferroviaria Andina S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ferroviaria Oriental S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fibras de El Salvador ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Fidel Dario Ramírez Carreno ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Financial Corporation, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Finanz And Go, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Florencio Porras ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Florentino De Jesús Acosta ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Fondo Agroindustrial de Alimentos, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fondo de Ahorro National de la Clase Obrera, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fondo Global de Construcción ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Fondo Simón Bolívar para la Reconstrucción, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Food Trading Group Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Foundation Great Mission A Toda Vida Venezuela  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Foundation Mission Che Guevara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Foundation Mission Identity, Ministry of Internal Affaris, Justice and Peace ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Foundation of Buildings and Hospital Equipment  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Foundation Venezuela for Prevention and Treatment of Drugs Consumption  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Frack International ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Francisco Antonio Convit Guruceaga ",3.48,3.29,9.64,2.08,0,6.68
"Francisco Garcés ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Francisco Illaramendi ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Francisco Jiménez Villaroel ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Francisco José Ameliach Orta ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Francisco Martín Mayra ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Francisco Morillo ",-0.3,-0.29,-0.44,-0.44,0,-0.54
"Francisco Rangel Gómez ",-0.69,1.59,-0.44,1.24,0,0.02
"Franco Rafael Hernández Maestre ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Franco Silva Avila ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Franklin Durán ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Franklin Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Franklin Horacio García Duque ",-0.29,-0.3,0.4,-0.44,0,-0.26
"Franqui Francisco Flores De Freitas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Franz Herman Muller Huber ",1.59,-0.69,0.4,-0.44,0,-0.26
"Freddy Alirio Bernal Rosales ",0.1,-0.3,0.4,-0.44,0,0.02
"Freddy Edward Salas Neuman  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Frigomerc, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Frigorifico Agrofrio, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Frigorifico Concepcion S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Frigorífico de Aves Soychú ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Frolem Corporation ",-0.3,0.9,3.76,-0.44,0,1.68
"Fund for investigation and Development of Telecommunications   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundación Alba petróleos de El Salvador  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Fundación Caixa Bella ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundación Makled C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundación Propatria 2000 ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundación Televisora Venezuela Social  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundacion Terra Mar Hall ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fundacion Venedig ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Fürstenbank  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"G & R. Abogados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gabriel Bonilla  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gabriel Jiménez Aray ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gabriel Pabón Gutiérrez  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gabriel Znidarcic ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gasohol de El Salvador ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gaubri Group  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gazprombank Latin America Bv ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gedeón Operation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gem, Torres & Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Command of National Guard  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Controller of the Republic ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Council of Police  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Direction of Military Counterintelligence  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Police Council ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Prosecutor of the Republic ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"General Trading Company, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Genould Investments Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Geohidra ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Georges Kabboul ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gerardo Alexis Moncada ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gerardo Andrés Quintero Meneses ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gerardo Elías Esteves Duque ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gerardo Izquierdo Torres ",0.1,-0.3,-0.44,-0.44,0,-0.26
"Gerardo Pantin Shortt ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gioia Pifan Antonini ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Giuseppe Alessandrello Cimadevilla ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Giuseppe Angelo Carmelo Yoffreda Yorio ",-0.69,-0.3,-0.44,3.76,0,0.57
"Giuson Fernando Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gladys del Valle Requena ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gladys María Gutiérrez Alvarado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Glen Core Energy Uk Ltd ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Glen Core International, A. G. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Glencore De Venezuela, C.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Glencore Ltd ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Global Construction Fund ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Corp Brokerage House  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Energy Company S.A.S. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Foods Trading, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Investment 58 LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Securities Management LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Securities Trade Finance ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Security Advisors  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Strategic Investments ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Structure, S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Structure, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Global Supplies and Equipment Services LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Globovision Tele C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gloria Andrea Pérez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Go Home, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Godelheim, Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gonçalo Nuno Mendes Da Trindade Ferreira ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gonet & Cie ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Good Central  Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Anzoátegui State  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Apure State ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Aragua State ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Canada ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Colombia ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Delta Amacuro State  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Merida State ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Government of Panama ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"GPL Solar LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Granja Tres Arroyos ",-0.3,0.1,-0.44,-0.44,0,-0.26
"Grat Trade And Consult Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gravetal Bolivia S.A. ",7.27,-0.3,-0.44,-0.44,0,4.73
"Great Mission Peace Quadrants ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Great Mission Socialist Justice for the National Territory Regions   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Great Wall Enterprise Offshore,S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Green Solar Specialist ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Greenhill Group S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Griselda Yanet Cornejo de León ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grocery Distribution Holdings Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Group Grand Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Group Grand Limited S.A. de C.V. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grumpy Old Man Ltd. S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo 58 Investment LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Atahualpa, CA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Corimón ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Grupo Hardwell Technologies, C.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Heb, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Núcleo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Panabee, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Sahect, C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Swissinvest ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Grupo Transgar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guanabana Real State SL ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guangzhou Ballac Trading Limited, CA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guárico State Governor ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guf Administration S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guf Trading Ltd, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Guido Alejandro Antonini Wilson ",-0.3,0.1,-0.44,-0.44,0,-0.26
"Guillermo Alberto Dippolito ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gustavo Adolfo Arreaza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gustavo Adolfo Hernández Frieri ",-0.3,-0.69,7.12,-0.44,0,1.68
"Gustavo Adolfo Perdomo Rosales ",3.48,4.48,12.16,1.24,0,8.06
"Gustavo Adolfo Vizcaino Gil ",0.9,-0.3,-0.44,-0.44,0,0.29
"Gustavo Arreaza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
