"unlist.Closeness.","unlist.CN_Betweenness.","unlist.CN_CBrokerage.","unlist.CN_Eigen.","unlist.CN_Info.","unlist.cutpoints_strong.","unlist.cutpoints_weak.","unlist.InDegree.","unlist.OutDegree.","unlist.TotalDegree."
10.8833333333333,0,0,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
89.7670634920635,0,0,0.0479031414329005,0.000663917997473453,FALSE,FALSE,0,1,0.4
1,0,1,0,2.5026692528631e-06,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473481,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473481,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473457,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473477,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
5.5,0,0,0,0.000663917997473482,FALSE,FALSE,0,0.5,0.2
15.5,212,1,0,0.000663917997473444,FALSE,TRUE,0.75,7,3.1
24.3047619047619,0,0,7.82475521997281e-11,0.000663917997473457,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473471,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
39.8333333333333,25.3333333333333,1,0,0.000663917997473442,FALSE,TRUE,0.15,22,8.86
29.3285714285714,84,0,6.54282642048376e-22,0.00066391799747346,FALSE,TRUE,0.45,0.5,0.38
32.4952380952381,0,1,6.54282642048376e-22,0.000663917997473455,FALSE,TRUE,0,2,0.8
0,0,0,0,0.000663917997473516,FALSE,FALSE,0.15,0,0.06
15.1666666666667,0,0,0,0.000663917997473456,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473494,FALSE,FALSE,0.15,0,0.06
15.05,0,0,2.74971886732733e-30,0.000663917997473471,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
1,0,0,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.0006639179974735,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
2,0,0,0,0.00066391799747346,FALSE,FALSE,0,1,0.4
1,0,1,0,0.000663917997473476,FALSE,FALSE,0,0.5,0.2
1,0,0,0,2.66680777846796e-05,FALSE,FALSE,0,1,0.4
31.9833333333333,0,0,1.07376308664085e-11,0.00066391799747345,FALSE,FALSE,0,2.5,1
10.8833333333333,0,0,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
